"Gloucester City","Gloucester Park",-2.243129,51.858707
"Gloucester North","Plock Court Playing Fields",-2.231707,51.878304
"Gnoll juniors","Gnoll Estate Country Park",-3.787224,51.662428
"Gnoll","Gnoll Estate Country Park",-3.788616,51.661114
"Goole","West Park",-0.891098,53.710492
"Gorleston juniors","Gorleston-on-sea",1.731107,52.567979
"Gorleston","Gorleston Cliffs Promenade",1.73069,52.567806
"Goudhurst juniors","The Glebe Field",0.463445,51.113694
"Grange Paddocks juniors","Grange Paddocks Leisure Centre",0.162395,51.877648
"Grangemoor","Cardiff",-3.192412,51.454464
"Graves juniors","Graves Park",-1.465051,53.338892
"Graves","Graves Park, Sheffield",-1.464657,53.338906
"Gravesend juniors","Riverside Leisure Area",0.379039,51.443724
"Great Cornard juniors","Great Cornard Sports Centre",0.749416,52.023598
"Great Cornard","Great Cornard Sports Centre",0.751362,52.02463
"Great Denham","Great Denham",-0.509062,52.121602
"Great Dunmow","The Recreation Ground",0.3627,51.878681
"Great Lines","Great Lines Heritage ParkPark",0.541334,51.388527
"Great Notley juniors","Great Notley Country Park",0.51556,51.863774
"Great Notley","Great Notley Country Park",0.51584,51.864147
"Greenock","The Esplanade",-4.767348,55.956525
"Greenwich","Avery Hill Park, Greenwich",0.075155,51.449459
"Groe","Groe Park",-3.403113,52.150418
"Grovelands","Grovelands Park, Enfield",-0.113769,51.633076
"Guernsey","Pembroke Bay",-2.530312,49.502341
"Guildford juniors","Stoke Park",-0.567461,51.244977
"Guildford","Stoke Park, Guildford",-0.562062,51.247383
"Gunnersbury","Gunnersbury Park, South Acton",-0.292253,51.499405
"Gunpowder","Gunpowder Park, Waltham Abbey",-0.000831,51.676037
"Hackney Marshes","Hackney Marshes",-0.025368,51.553686
"Hackworth","Hackworth Park",-1.644945,54.628071
"Hadleigh","Hadleigh Country Park",0.59606,51.549769
"Hafan Pwllheli","Plas Heli Cyf",-4.402811,52.888538
"Haigh Woodland","Haigh Country Park",-2.609519,53.572714
"Haldon Forest","Haldon Forest Park",-3.579359,50.653392
"Halifax","Shroggs Park",-1.873871,53.731746
"Hampstead Heath","Hampstead Heath",-0.168185,51.558598
"Hanley","Hanley Park, Hanley",-2.175164,53.012501
"Hanworth juniors","Hanworth Air Park Leisure Centre & Libra",-0.391593,51.439389
"Hanworth","Hanworth Park",-0.398287,51.43874
"Harcourt Hill juniors","Harcourt Hill Campus",-1.295183,51.739341
"Harcourt Hill","Harcourt Hill Campus",-1.295191,51.739369
"Harlow juniors","Harlow Town Park",0.098433,51.77798
"Harlow","Harlow Town Park",0.103624,51.77766
"Harrogate juniors","The Valley Gardens",-1.550192,53.991699
"Harrogate","The Stray, Harrogate",-1.521435,53.992428
"Harrow Lodge juniors","Harrow Lodge Park",0.202013,51.555718
"Harrow Lodge","Harrow Lodge Park",0.200715,51.555606
"Harrow","Harrow Recreation Ground",-0.342734,51.581781
"Hartlepool","Hartlepool",-1.195128,54.686937
"Harwich","Cliff Park",1.284809,51.938035
"Hastings","Hastings",0.539739,50.850291
"Havant","Staunton Country Park",-0.975565,50.875771
"Haverfordwest","Haverfordwest Crickert Club",-4.992836,51.797163
"Haverhill","Puddlebrook Playing Fields",0.422212,52.076737
"Hawkwell juniors","Clements Hall Recreation Ground",0.673991,51.595524
"Hay Lodge","Hay Lodge Park",-3.199586,55.651659
"Haywards Heath juniors","Victoria Park",-0.106104,50.998429
"Hazelwood","Hazelwood Centre",-0.421045,51.405783
"Hazlehead","Hazlehead Park",-2.175647,57.141371
"Heartlands","Heartlands,",-5.2715,50.224177
"Heaton Park","Heaton Park, Manchester",-2.256263,53.531975
"Heavitree juniors","Heavitree Pleasure Ground",-3.501308,50.723092
"Helix juniors","Helix Park",-3.757796,56.008708
"Hemlington Lake juniors","Hemlington Lake",-1.244316,54.526005
"Henley Wood, Oswestry","Henley Wood",-3.030368,52.862542
"Henley-on-Thames","Henley-on-Thames",-0.919288,51.531978
"Henstridge Airfield","Henstridge Airfield",-2.352992,50.985278
"Hereford","Hereford",-2.724152,52.068892
"Herrington Country","Herrington Country Park",-1.476809,54.876573
"Hertford juniors","Hartham Common",-0.077451,51.801059
"Heslington","York Sport Village",-1.01799,53.949319
"Higginson, Marlow","Higginson Park,",-0.779573,51.566268
"Highbury Fields juniors","Highbury Fields",-0.103038,51.547113
"Highbury Fields","Highbury Fields, Highbury",-0.102884,51.546959
"Highwoods","Highwoods Country Park",0.917561,51.904682
"Hillsborough","Hillsborough Park",-1.501973,53.408457
"Hilly Fields juniors","Hilly Fields park",-0.023945,51.459916
"Hilly Fields","Hilly Fields",-0.025019,51.460143
"Hoblingwell juniors","Hoblingwell Wood Recreation Ground",0.099478,51.401701
"Hoblingwell","Hoblingwell Wood Recreation Ground",0.098847,51.400981
"Hockley Woods","Hockley Woods",0.64912,51.596133
"Hogmoor Inclosure juniors","Hogmoor Inclosure",-0.876815,51.111093
"Hogmoor Inclosure","Hogmoor Inclosure ",-0.875934,51.111681
"Holkham","Holkham Hall",0.801022,52.950159
"Holy Cross College","Holy Cross College",-7.477408,54.815718
"Homewood","Ottershaw Memorial Fields",-0.539078,51.366808
"Horsham juniors","Horsham Park",-0.32753,51.066568
"Horsham","Horsham",-0.327908,51.06651
"Horton Park","Horton Park",-1.77538,53.782455
"Houghton Hall juniors","Houghton Hall Park",-0.509799,51.901555
"Houghton Hall","Houghton Hall Park",-0.510046,51.90155
"Hove Park juniors","Hove Park",-0.172638,50.841288
"Hove Promenade","Hove Lawns",-0.166594,50.823391
"Hucknall juniors","Titchfield Park",-1.203623,53.029124
"Huddersfield juniors","Greenhead Park",-1.799336,53.648309
"Huddersfield","Greenhead Park, Huddersfield",-1.800685,53.650608
"Hull","East Park, Hull",-0.300708,53.764645
"Humber Bridge","Humber Bridge Country Park",-0.453352,53.71723
"Hunstanton Promenade","Hunstanton North Promenade",0.486526,52.941684
"Huntingdon","Huntingdon",-0.211551,52.330061
"Hyde juniors","Hyde Park",-2.07756,53.458379
"Hyde","Hyde Park",-2.076554,53.45713
"Hyndburn","Wilson Playing Fields",-2.376734,53.781711
"Ifield Mill Pond","Ifield Mill Pond",-0.218863,51.107508
"Inverleith juniors","Inverleith park",-3.213143,55.964343
"Inverness","Bught Park, Inverness",-4.235474,57.463654
"Ipswich juniors","Christchurch Park",1.159304,52.065233
"Ipswich","Chantry Park",1.11585,52.052293
"Irchester Country","Irchester Country Park",-0.673649,52.285076
"Isabel Trail","Isabel Trail",-2.125953,52.808242
"Jacks Road juniors","NAAC Athletics Arena",-4.794416,55.642811
"Jersey Farm","Jersey Farm Woodland Park",-0.307978,51.773718
"Jersey","Les Quennevais sports centre",-2.204124,49.195026
"Jesmond Dene","Jesmond Dene",-1.592839,54.99188
"Jordanstown juniors","Ulster University, Jordanstown Campus",-5.88614,54.68829
"Jubilee juniors","Jubilee Park",-0.165825,52.359161
"Jubilee","Jubilee Park",-1.604602,54.701073
"Kenton Rec juniors","Kenton Recreation Ground",-0.320608,51.586093
"Kesgrave juniors","Kesgrave",1.256579,52.058171
"Kesgrave","Kesgrave",1.257741,52.058138
"Keswick juniors","Upper Fitz Park",-3.135084,54.602628
"Keswick","Keswick Railway Path",-3.129497,54.603863
"Kettering","Wicksteed Park",-0.710653,52.384226
"Kew Woods","Kew Woods",-2.995064,53.629073
"Killerton","Killerton, Broadclyst",-3.455007,50.792835
"King George V Playing Field","King George V Playing Field",-2.110018,51.901883
"King George V juniors","King George V Park",-2.136166,51.37731
"King George juniors","King George Recreation Ground",-0.352275,51.642943
"Kingdom","Kingdom",0.162768,51.162408
"Kings Weston juniors","Kings Weston Estate",-2.660036,51.493696
